Work Item Type,Title,Parent,Area Path,Iteration Path,Tags,Description,Acceptance Criteria
Task,Mirror the markdown table,Declare the connector inventory in code,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Evidence-path test,Declare the connector inventory in code,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
User Story,Serve the connectors endpoint,Connector Inventory & Honest Status,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,GET /api/ade/connectors merges declarations with derived per-module MCP tool counts. Declared statuses only.,"No external calls, CLI execution, or credential checks (tested by inspection) | Response includes status, mode, evidence_path, reason, tool_count"
Task,Route + merge logic,Serve the connectors endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Tests,Serve the connectors endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Feature,Control-Room Frontend,Automated Data Engineering Platform,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,"Portable, env-agnostic control room (AdeShell + Overview, Skill Registry, Connector Map, Execution Receipts, Playbooks) first mounted in the telemetry environment. Neutral branding; --bm-* tokens only.",
User Story,Build the portable ADE package,Control-Room Frontend,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,"repo-b components, typed lib, and catch-all proxy under /api/ade/. Every data component implements Loading, Loaded, Empty, Unavailable-with-null_reason, and Error states.",No RS or telemetry branding anywhere in the core package | All five component states implemented | Connector map renders declared status + reason; no fabricated liveness
Task,primitives + AdeShell,Build the portable ADE package,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
Task,SkillRegistryTable + drawer,Build the portable ADE package,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
Task,ConnectorMap + ReceiptsFeed + PlaybooksPanel,Build the portable ADE package,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
User Story,Mount ADE in the telemetry environment,Control-Room Frontend,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,"Domain routes under /lab/env/[envId]/automated-data-engineering, isDomainRoute regex entry, one TelemetrySidebar link.",Route renders full-bleed without the lab sidebar | Standard lab/telemetry routes unaffected (no double-wrap) | Sidebar link works
Task,Route pages + layout,Mount ADE in the telemetry environment,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
Task,isDomainRoute + sidebar link,Mount ADE in the telemetry environment,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
Task,repo-b typecheck/build passes,Mount ADE in the telemetry environment,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=NetNew,,
User Story,State the capability claim honestly,Control-Room Frontend,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"Overview carries a Capability Claim strip: live now = registry surfacing, connector declaration, receipt feed, playbook skeleton; not yet = BYO keys, autonomous connector setup, grain detection, lakehouse scanning, live ADO creation.",Capability Claim strip present on Overview | No demo copy claims unimplemented capabilities
Task,Write the strip,State the capability claim honestly,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Review copy against connector inventory,State the capability claim honestly,Novendor\RS-Analytics\WinstonPrototype,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Feature,Execution Receipts & Evidence,Automated Data Engineering Platform,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"Surface the existing MCP audit trail (write-time redaction, two-phase confirmation) as an Execution Receipts feed. Read-only; no schema changes.",
User Story,Serve the receipts endpoint,Execution Receipts & Evidence,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"GET /api/ade/runs reuses the existing audit read path for mcp.tool_call rows, scoped and limited. If scoped reads are unavailable, return runs:[] with a null_reason rather than unscoped data.","Returns business-scoped rows or null_reason audit_read_unavailable | No new audit schema, migrations, or persistence changes | Redaction stays at write time via AuditPolicy"
Task,Locate or add one minimal read-only audit query,Serve the receipts endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Route + scoping guard,Serve the receipts endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Fail-closed tests,Serve the receipts endpoint,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
User Story,Render the receipts feed,Execution Receipts & Evidence,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,"ReceiptsFeed table with an evidence drawer showing audit fields (tool, status, permission mode, latency, actor, timestamp).",Rows render or the null_reason shows; never a blank lie | Drawer shows audit fields without raw secret values
Task,Feed component,Render the receipts feed,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Task,Evidence drawer,Render the receipts feed,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR1 - Governed fabric surface,ADE; DeliveryPhase=PR1; StatusOnMerge=Done; ImplementationMode=ExistingFabricSurface,,
Feature,Model-Access Strategy (provider abstraction + BYO-key),Automated Data Engineering Platform,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Future work recorded in ADR 0001. The model layer stays Winston-managed (OpenAI via ai_gateway.py) until this feature is scheduled.,
User Story,Design the provider abstraction interface,Model-Access Strategy (provider abstraction + BYO-key),Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,"Concrete interface for the three access modes (Winston-managed, BYO-key, enterprise connector) sketched in ADR 0001.",Interface covers all three modes without leaking provider details into callers | Migration path from the current ai_gateway.py documented
Task,Interface spec,Design the provider abstraction interface,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,ai_gateway migration notes,Design the provider abstraction interface,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
User Story,Build BYO-key storage and scoping,Model-Access Strategy (provider abstraction + BYO-key),Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Per-environment key storage with no raw key display anywhere in the UI or API.,Keys stored scoped to environment; never returned by any endpoint | Key removal revokes access immediately
Task,Storage design,Build BYO-key storage and scoping,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,Scoping + revocation,Build BYO-key storage and scoping,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,No-display tests,Build BYO-key storage and scoping,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
User Story,Add the data-classification redaction gate,Model-Access Strategy (provider abstraction + BYO-key),Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Classification check before any payload leaves for an external model under BYO-key or enterprise modes.,Controlled payloads blocked or redacted before egress | Gate decisions land in the audit trail
Task,Classification rules,Add the data-classification redaction gate,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,Gate enforcement,Add the data-classification redaction gate,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,Audit wiring,Add the data-classification redaction gate,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Feature,Analytical Engine (grain detection / join-risk / metric conflicts),Automated Data Engineering Platform,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Future analytical capabilities deferred from PR 1; see roadmap.md.,
User Story,Build grain detection,Analytical Engine (grain detection / join-risk / metric conflicts),Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Infer table grain from data and declared keys; flag grain mismatches before joins.,Grain inferred for sample tables with declared confidence | Mismatched-grain joins flagged before execution
Task,Inference approach,Build grain detection,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,Confidence reporting,Build grain detection,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
User Story,Build fanout and join-risk detection,Analytical Engine (grain detection / join-risk / metric conflicts),Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Detect row-multiplying joins and warn before a query inflates metrics.,Known fanout cases caught in tests | Warning includes the offending join and expected multiplier
Task,Detection rules,Build fanout and join-risk detection,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,Test fixtures,Build fanout and join-risk detection,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
User Story,Build metric-conflict detection,Analytical Engine (grain detection / join-risk / metric conflicts),Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,Flag when two sources define the same metric differently; tie into the metric registry pattern from the RS plan.,Conflicting definitions surfaced with both sources cited | No silent preference for either definition
Task,Conflict rules,Build metric-conflict detection,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
Task,Registry cross-reference,Build metric-conflict detection,Novendor\RS-Analytics\AgentPlatform,Novendor\ADE PR2+ - Provider abstraction & analytical engine,ADE; DeliveryPhase=PR2+; ImplementationMode=NetNew,,
